Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,District,Municipality,Road No.,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
1000,D353 over Steelpoort river,Bridge,Bridge,8/3/2021,Sekhukhune,,,6/30/2022,8/3/2021,799182,2574363,2934750,586020,1549548,30100,19.5,5,5.67,,,,,,,,,,,,,1,0.472,57
1006,P134/2 over river,Major Culvert,Culvert Major,2/3/2022,Waterberg,,,6/30/2022,1/21/2022,1907905,2875387,3240603,0,1332698,24450,,,,,9.4,14.1,0.6,,,,,,,,,,0.589,47
1056,P95/1 over Aarons river,Bridge,Bridge,8/2/2021,Sekhukhune,,,6/30/2022,8/2/2021,2365861,4674843,5899600,418750,3114989,30100,20,9.8,4.4,,,,,,,,,,,,,1,0.472,57
1068,D737 over Eloff river,Bridge,Bridge,8/4/2021,Sekhukhune,,,6/30/2022,8/4/2021,2580336,5761094,6046488,370350,3095802,30100,16.2,12.4,3.7,,,,,,,,,,,,,1,0.488,53
1084,P33/1 over river,Bridge,Bridge,2/7/2022,Capricorn,,,6/30/2022,2/11/2005,4829581,9287656,9287656,0,4458075,30100,20.3,15.2,0,,,,,,,,,,,,,1,0.52,48
1105,P51/3  over Blood river,Bridge,Bridge,2/2/2022,Sekhukhune,,,6/30/2022,1/20/2022,10682187,19899186,23375060,631340,12061531,30100,60.2,12.9,4.8,,,,,,,,,,,,,1,0.484,54
1120,P98/2 over river,Bridge,Bridge,9/4/2021,Vhembe,,,6/30/2022,9/4/2021,5363200,11007667,11883480,340870,6179410,30100,32.9,12,4.45,,,,,,,,,,,,,1,0.48,55
1134,D 192 over Sterk river,Bridge,Bridge,9/10/2021,Waterberg,,,6/30/2022,8/2/2021,5497299,10047599,11907560,361220,6049041,30100,34.4,11.5,4.1,,,,,,,,,,,,,1,0.492,52
1179,P33/1 over river,Bridge,Bridge,2/7/2022,Capricorn,,,6/30/2022,2/11/2005,4551120,10836000,10836000,0,6284880,30100,30,12,0,,,,,,,,,,,,,1,0.42,70
1192,D2700 over Crocodile river,Bridge,Bridge,8/23/2021,Waterberg,,,6/30/2022,6/19/2021,11183520,18703192,21017180,165760,9667904,45140,77.6,6,9,,,,,,,,,,,,,1,0.54,46
1201,D447 over Brand Boontjies riv,Bridge,Bridge,7/31/2021,Mopani,,,6/30/2022,7/31/2021,2946461,5696576,6158460,9600,3202399,30100,16.5,12.4,3,,,,,,,,,,,,,1,0.48,55
1209,D2533 over river,Bridge,Bridge,7/30/2021,Waterberg,,,6/30/2022,6/20/2021,914747,2046488,2225895,46840,1264308,30100,8.7,8.5,2.7,,,,,,,,,,,,,1,0.432,67
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,Capricorn,,,6/30/2022,7/16/2021,7566579,19212929,24243440,2712640,13964225,30100,67.4,11.95,3.04,,,,,,,,,,,,,1,0.424,69
1233,P51/5 over Buffelsvlei river,Bridge,Bridge,2/1/2022,Sekhukhune,,,6/30/2022,1/20/2022,2541575,5039304,5643750,190000,2912175,30100,15,12.5,3.9,,,,,,,,,,,,,1,0.484,54
1248,D1231 over Rooisloot river,Bridge,Bridge,9/9/2021,Waterberg,,,6/30/2022,8/3/2021,1329754,3024329,3649926,466010,1854162,30100,25.8,4.7,4,,,,,,,,,,,,,1,0.492,52
1254,D1174 over Sand river,Bridge,Bridge,8/12/2021,Vhembe,,,6/30/2022,8/12/2021,21060692,34525176,35989970,173390,14755886,30100,112.8,10.6,7.35,,,,,,,,,,,,,1,0.59,41
1256,D2631 over river,Bridge,Bridge,8/4/2021,Sekhukhune,,,6/30/2022,8/4/2021,2508957,5416723,6175015,405650,3260408,30100,37.3,5.5,1.8,,,,,,,,,,,,,1,0.472,57
1313,D673 over Groot Letaba river,Bridge,Bridge,9/2/2021,Mopani,,,6/30/2022,9/3/2021,3646547,12533690,13305400,2207830,7451027,30100,51.4,8.6,5.8,,,,,,,,,,,,,1,0.44,65
1317,P116/1 over Blyde river,Bridge,Bridge,2/2/2022,Mopani,,,6/30/2022,1/18/2022,9480893,19969131,21946510,0,12465619,30100,78.4,9.3,4.44,,,,,,,,,,,,,1,0.432,67
1329,D1173 over Crocodile river,Bridge,Bridge,8/23/2021,Waterberg,,,6/30/2022,6/18/2021,7106802,15538529,17567590,482395,9978389,45140,63.8,6.1,8,,,,,,,,,,,,,1,0.432,67
1333,D1089 over groot nyl river,Major Culvert,Culvert Major,7/27/2021,Waterberg,,,6/30/2022,6/30/2021,2194805,3333622,3621534,750,1425979,24450,,,,,9.2,16.1,0.3,,,,,,,,,,0.606,45
1333A,D1087 over Groot Nyl river,Bridge,Bridge,7/27/2021,Waterberg,,,6/30/2022,6/30/2021,8435833,14508274,15790460,248920,7105707,30100,43,12.2,3.4,,,,,,,,,,,,,1,0.55,45
1345,D2018 over Nzhelele river,Bridge,Bridge,8/12/2021,Vhembe,,,6/30/2022,8/12/2021,13474836,16363980,16814610,145000,3194776,30100,102.5,5.45,5,,,,,,,,,,,,,1,0.81,19
1353,P134/1 over Tobias river,Bridge,Bridge,7/23/2021,Waterberg,,,6/30/2022,7/13/2021,2902585,5465428,5971840,35560,3033695,30100,16,12.4,1.45,,,,,,,,,,,,,1,0.492,52
1355,P134/1 over Naboom spruit,Bridge,Bridge,7/22/2021,Waterberg,,,6/30/2022,7/13/2021,1758805,3269139,3819088,104910,1955373,30100,10.4,12.2,2.8,,,,,,,,,,,,,1,0.488,53
1366,D2700 over river,Bridge,Bridge,8/23/2021,Waterberg,,,6/30/2022,6/19/2021,607230,1999510,2675288,602000,1466058,30100,10.1,8.8,3.4,,,,,,,,,,,,,1,0.452,62
1367,D1534 over river,Bridge,Bridge,8/6/2021,Capricorn,,,6/30/2022,8/6/2021,1367460,3091974,3391066,97480,1926126,30100,13.1,8.6,3.57,,,,,,,,,,,,,1,0.432,67
1375,D1858 over Mogol river,Bridge,Bridge,7/29/2021,Waterberg,,,6/30/2022,6/24/2021,6762106,14134071,16210660,370582,9077968,30100,112.2,4.8,7,,,,,,,,,,,,,1,0.44,65
1377,P94/2 over Brak River,Bridge,Bridge,9/4/2021,Vhembe,,,6/30/2022,9/4/2021,6130525,12024449,12764810,200820,6433463,30100,34.2,12.4,3.88,,,,,,,,,,,,,1,0.496,51
1380,D710 over Klein Melk river,Bridge,Bridge,7/26/2021,Waterberg,,,6/30/2022,7/1/2021,6440579,10781167,12290430,73350,5776503,30100,35.2,11.6,5.8,,,,,,,,,,,,,1,0.53,47
1381,D192 over Mmadikiri river,Bridge,Bridge,9/10/2021,Waterberg,,,6/30/2022,8/2/2021,4348804,8081387,9142875,149490,4644581,30100,24.3,12.5,4.1,,,,,,,,,,,,,1,0.492,52
1384,D212 over river,Bridge,Bridge,8/4/2021,Sekhukhune,,,6/30/2022,8/4/2021,3580864,5556162,7278180,0,3697316,30100,19.5,12.4,3.35,,,,,,,,,,,,,1,0.492,52
1385,P146/1 over Mbezi river,Bridge,Bridge,8/2/2021,Mopani,,,6/30/2022,8/2/2021,1065358,2314429,2394154,16800,1311996,30100,9.7,8.2,5.76,,,,,,,,,,,,,1,0.452,62
