Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No,District,Municipality,Analysis Date,Inspection Item,Activity,Position,Qty Budget,Unit Cost,Unit,Cost,U,Adj. U,RMax2,B/C,WorkYear
1000,D353 over Steelpoort river,Bridge,Bridge,8/3/2021,,Sekhukhune,,6/30/2022,03. Waterway, 207. Clear debris,AS,150,750,m3,112500,4,4,9,8,3
1000,D353 over Steelpoort river,Bridge,Bridge,8/3/2021,,Sekhukhune,,6/30/2022,04. Approach Embankment Protection Works, 156. Gabion (mattresses and boxes),A1,30,3100,m3,93000,3,4,4,4,3
1000,D353 over Steelpoort river,Bridge,Bridge,8/3/2021,,Sekhukhune,,6/30/2022,11. Parapet, 454. New endblocks,"S1,S3",4,15350,No,61400,4,4,16,26,3
1000,D353 over Steelpoort river,Bridge,Bridge,8/3/2021,,Sekhukhune,,6/30/2022,11. Parapet, 458. New/repair steel railing,AS,40,3100,m,124000,4,4,16,13,3
1000,D353 over Steelpoort river,Bridge,Bridge,8/3/2021,,Sekhukhune,,6/30/2022,17. Expansion Joints, 203. Clean joint of loose material,"BA,AP",80,340,m,0,0,0,4,9999999,1
1000,D353 over Steelpoort river,Bridge,Bridge,8/3/2021,,Sekhukhune,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,"BA,AP",80,1220,m,97600,3,4,4,4,3
1000,D353 over Steelpoort river,Bridge,Bridge,8/3/2021,,Sekhukhune,,6/30/2022,17. Expansion Joints, 702. Traffic accommodation-Low (< 10 000 vpd),BA,1,137950,LS,0,0,0,4,9999999,1
1000,D353 over Steelpoort river,Bridge,Bridge,8/3/2021,,Sekhukhune,,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BA,4,5380,No,21520,3,4,0,0,3
1000,D353 over Steelpoort river,Bridge,Bridge,8/3/2021,,Sekhukhune,,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BA,80,950,m,76000,3,4,0,0,3
1056,P95/1 over Aarons river,Bridge,Bridge,8/2/2021,,Sekhukhune,,6/30/2022,01. Approach Embankment, 155. Earth backfill,A2,50,630,m3,31500,4,4,4,13,3
1056,P95/1 over Aarons river,Bridge,Bridge,8/2/2021,,Sekhukhune,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,"BA,AP",21,1220,m,25620,3,4,4,16,3
1056,P95/1 over Aarons river,Bridge,Bridge,8/2/2021,,Sekhukhune,,6/30/2022,17. Expansion Joints, 203. Clean joint of loose material,"BA,AP",21,340,m,7140,3,4,4,56,2
1056,P95/1 over Aarons river,Bridge,Bridge,8/2/2021,,Sekhukhune,,6/30/2022,08. Surfacing, 502. Resurface or patch,AS,130,750,m2,97500,3,4,4,4,3
1056,P95/1 over Aarons river,Bridge,Bridge,8/2/2021,,Sekhukhune,,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BA,100,950,m,95000,3,4,0,0,3
1056,P95/1 over Aarons river,Bridge,Bridge,8/2/2021,,Sekhukhune,,6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,BA,4,3100,No,12400,3,4,0,0,3
1056,P95/1 over Aarons river,Bridge,Bridge,8/2/2021,,Sekhukhune,,6/30/2022,01. Approach Embankment, 504. Repair settlement (asphalt fill),BA,15,9190,m3,137850,3,4,4,3,3
