Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,District,Municipality,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
1000,D353 over Steelpoort river,Bridge,Bridge,8/3/2021,,,,Sekhukhune,,6/30/2022,87.72,58.14
1006,P134/2 over river,Major Culvert,Culvert Major,2/3/2022,,,,Waterberg,,6/30/2022,88.73,94.43
1056,P95/1 over Aarons river,Bridge,Bridge,8/2/2021,,,,Sekhukhune,,6/30/2022,79.24,79.32
1068,D737 over Eloff river,Bridge,Bridge,8/4/2021,,,,Sekhukhune,,6/30/2022,95.28,91.36
1084,P33/1 over river,Bridge,Bridge,2/7/2022,,,,Capricorn,,6/30/2022,100,100
1105,P51/3  over Blood river,Bridge,Bridge,2/2/2022,,,,Sekhukhune,,6/30/2022,85.13,57.03
1120,P98/2 over river,Bridge,Bridge,9/4/2021,,,,Vhembe,,6/30/2022,92.63,81.06
1134,D 192 over Sterk river,Bridge,Bridge,9/10/2021,,,,Waterberg,,6/30/2022,84.38,95.71
1179,P33/1 over river,Bridge,Bridge,2/7/2022,,,,Capricorn,,6/30/2022,100,100
1192,D2700 over Crocodile river,Bridge,Bridge,8/23/2021,,,,Waterberg,,6/30/2022,88.99,89.13
1201,D447 over Brand Boontjies riv,Bridge,Bridge,7/31/2021,,,,Mopani,,6/30/2022,92.5,92.94
1209,D2533 over river,Bridge,Bridge,7/30/2021,,,,Waterberg,,6/30/2022,91.94,94.03
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,,,,Capricorn,,6/30/2022,79.25,71.19
1233,P51/5 over Buffelsvlei river,Bridge,Bridge,2/1/2022,,,,Sekhukhune,,6/30/2022,89.29,67.47
1248,D1231 over Rooisloot river,Bridge,Bridge,9/9/2021,,,,Waterberg,,6/30/2022,82.86,56.8
1254,D1174 over Sand river,Bridge,Bridge,8/12/2021,,,,Vhembe,,6/30/2022,95.93,84.91
1256,D2631 over river,Bridge,Bridge,8/4/2021,,,,Sekhukhune,,6/30/2022,87.72,75.26
1313,D673 over Groot Letaba river,Bridge,Bridge,9/2/2021,,,,Mopani,,6/30/2022,94.2,72.99
1317,P116/1 over Blyde river,Bridge,Bridge,2/2/2022,,,,Mopani,,6/30/2022,90.99,94.73
1329,D1173 over Crocodile river,Bridge,Bridge,8/23/2021,,,,Waterberg,,6/30/2022,88.45,61.82
1333,D1089 over groot nyl river,Major Culvert,Culvert Major,7/27/2021,,,,Waterberg,,6/30/2022,92.05,96.93
1333A,D1087 over Groot Nyl river,Bridge,Bridge,7/27/2021,,,,Waterberg,,6/30/2022,91.88,96.64
1345,D2018 over Nzhelele river,Bridge,Bridge,8/12/2021,,,,Vhembe,,6/30/2022,97.32,97.56
1353,P134/1 over Tobias river,Bridge,Bridge,7/23/2021,,,,Waterberg,,6/30/2022,91.52,94.01
