Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,District,Municipality,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
1000,D353 over Steelpoort river,Bridge,Bridge,8/3/2021,,Sekhukhune,,19.5,5,3,Simply supported,1/1/1965
1056,P95/1 over Aarons river,Bridge,Bridge,8/2/2021,,Sekhukhune,,20,9.8,3,Simply supported,1/1/1965
1068,D737 over Eloff river,Bridge,Bridge,8/4/2021,,Sekhukhune,,16.2,12.4,1,Simply supported,1/1/1969
1084,P33/1 over river,Bridge,Bridge,2/7/2022,,Capricorn,,20.3,15.2,2,Continuous,1/1/1974
1105,P51/3  over Blood river,Bridge,Bridge,2/2/2022,,Sekhukhune,,60.2,12.9,9,Simply supported,1/1/1968
1120,P98/2 over river,Bridge,Bridge,9/4/2021,,Vhembe,,32.9,12,5,Simply supported,1/1/1967
1134,D 192 over Sterk river,Bridge,Bridge,9/10/2021,,Waterberg,,34.4,11.5,3,Simply supported,1/1/1970
1179,P33/1 over river,Bridge,Bridge,2/7/2022,,Capricorn,,30,12,5,Simply supported,1/1/1952
1192,D2700 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,77.6,6,5,Simply supported,1/1/1976
1201,D447 over Brand Boontjies riv,Bridge,Bridge,7/31/2021,,Mopani,,16.5,12.4,1,Simply supported,1/1/1967
1209,D2533 over river,Bridge,Bridge,7/30/2021,,Waterberg,,8.7,8.5,1,Simply supported,1/1/1955
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,,Capricorn,,67.4,11.95,10,Simply supported,1/1/1953
1233,P51/5 over Buffelsvlei river,Bridge,Bridge,2/1/2022,,Sekhukhune,,15,12.5,3,Simply supported,1/1/1968
1248,D1231 over Rooisloot river,Bridge,Bridge,9/9/2021,,Waterberg,,25.8,4.7,4,Simply supported,1/1/1970
1254,D1174 over Sand river,Bridge,Bridge,8/12/2021,,Vhembe,,112.8,10.6,7,Simply supported,1/1/1981
1256,D2631 over river,Bridge,Bridge,8/4/2021,,Sekhukhune,,37.3,5.5,8,Simply supported,1/1/1965
1313,D673 over Groot Letaba river,Bridge,Bridge,9/2/2021,,Mopani,,51.4,8.6,4,Simply supported,1/1/1957
1317,P116/1 over Blyde river,Bridge,Bridge,2/2/2022,,Mopani,,78.4,9.3,9,Simply supported,1/1/1955
1329,D1173 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,63.8,6.1,4,Simply supported,1/1/1955
1333A,D1087 over Groot Nyl river,Bridge,Bridge,7/27/2021,,Waterberg,,43,12.2,8,Simply supported,1/1/1977
1345,D2018 over Nzhelele river,Bridge,Bridge,8/12/2021,,Vhembe,,102.5,5.45,5,Continuous,1/1/2003
1353,P134/1 over Tobias river,Bridge,Bridge,7/23/2021,,Waterberg,,16,12.4,2,Simply supported,1/1/1970
1355,P134/1 over Naboom spruit,Bridge,Bridge,7/22/2021,,Waterberg,,10.4,12.2,2,Simply supported,1/1/1969
1366,D2700 over river,Bridge,Bridge,8/23/2021,,Waterberg,,10.1,8.8,2,Simply supported,1/1/1960
1367,D1534 over river,Bridge,Bridge,8/6/2021,,Capricorn,,13.1,8.6,2,Simply supported,1/1/1955
1375,D1858 over Mogol river,Bridge,Bridge,7/29/2021,,Waterberg,,112.2,4.8,4,Unknown,1/1/1957
1377,P94/2 over Brak River,Bridge,Bridge,9/4/2021,,Vhembe,,34.2,12.4,3,Simply supported,1/1/1971
1380,D710 over Klein Melk river,Bridge,Bridge,7/26/2021,,Waterberg,,35.2,11.6,2,Simply supported,1/1/1975
1381,D192 over Mmadikiri river,Bridge,Bridge,9/10/2021,,Waterberg,,24.3,12.5,3,Simply supported,1/1/1970
1384,D212 over river,Bridge,Bridge,8/4/2021,,Sekhukhune,,19.5,12.4,3,Simply supported,1/1/1970
1385,P146/1 over Mbezi river,Bridge,Bridge,8/2/2021,,Mopani,,9.7,8.2,1,Simply supported,1/1/1960
1387,D1888 over Steelpoort river,Bridge,Bridge,8/3/2021,,Sekhukhune,,16,5,1,Simply supported,1/1/1957
139,P98/2 over Sand river,Bridge,Bridge,9/4/2021,,Vhembe,,93,12.7,6,Continuous,1/1/1971
1439,P18/2 over river,Bridge,Bridge,8/6/2021,,Capricorn,,46.7,12.36,4,Simply supported,1/1/1957
1446,D1663 over river,Bridge,Bridge,8/6/2021,,Capricorn,,40.9,4.8,5,Simply supported,1/1/1957
